STREETSEGID;QUADCODE;ST_NAME
1429;1;Farragut St
1430;3;Hanna Pl
1430;3;Hanna Pl
1430;3;Hanna Pl
1431;1;14th St
1432;3;32nd St
1432;3;32nd St
1432;3;32nd St
1433;2;46th St
1434;3;Hillside Rd
1435;3;Southern Ave
1436;2;17th Pl
1438;2;H St
1439;2;Gallatin St
1439;2;Gallatin St
1440;1;2nd St
1442;4;Martin Luther King Jr Ave
1443;3;16th St
1445;3;Pennsylvania Ave
1447;2;Minnesota Ave
1447;2;Minnesota Ave
1449;2;Galloway St
1451;1;16th St
1454;1;48th St
1458;2;2nd St
1458;2;2nd St
1459;2;Kenilworth Ave
1461;2;Dix St
1465;1;31st St
1466;2;42nd St
1468;2;3rd St
1469;2;47th St
1472;2;Otis Pl
1474;1;Q St
1474;1;Q St
1476;1;Manchester Ln
1478;1;15th St
1478;1;15th St
1479;1;9th St
1483;3;Congress Pl
1483;3;Congress Pl
1485;1;Cathedral Ave
1486;1;Rittenhouse St
1488;1;Fulton St
1488;1;Fulton St
1490;2;Montana Ave
1494;1;Blair Rd
1495;3;6th St
1498;3;10th St
1499;3;Good Hope Rd
1500;2;46th St
1503;3;Suitland Rd
1504;1;18th St
1504;1;18th St
1505;1;New York Ave
1506;1;M St
1506;1;M St
1508;1;13th St
1510;1;Bataan St
1511;1;Massachusetts Ave
1512;1;K St
1513;2;22nd St
1515;3;Minnesota Ave
1517;2;Evarts St
1520;3;Oak Dr
1521;1;14th St
1523;2;19th St
1525;1;Arcadia Pl
1525;1;Arcadia Pl
1526;1;13th St
1527;4;Half St
1528;1;Varnum St
1528;1;Varnum St
1528;1;Varnum St
1531;3;Wahler Pl
1533;4;D St
1538;5;North Capitol St
1539;1;16th St
1540;1;Ingraham St
1540;1;Ingraham St
1540;1;Ingraham St
1541;2;Rhode Island Ave
1543;1;Georgia Ave
1544;2;Clay St
1545;3;G St
1546;2;24th St
1548;1;28th St
1549;2;Morse St
1550;2;Jackson St
1550;2;Jackson St
1551;1;Wyoming Ave
1552;1;Anna J Cooper Cir
1553;2;24th Pl
1553;2;24th Pl
1554;2;Fort Totten Dr
1555;3;4th St
1557;1;14th St
1562;1;13th St
1564;3;24th St
1566;1;Mckinley St
1568;3;13th St
1570;2;16th St
1571;1;Blagden Ave
1571;1;Blagden Ave
1571;1;Blagden Ave
1575;2;Eads St
1579;1;P St
1579;1;P St
1580;2;Varnum St
1582;2;Blaine St
1583;1;Wisconsin Ave
1587;1;I St
1588;3;Pennsylvania Ave
1590;2;Clay St
1591;3;9th St
1592;3;31st Pl
1594;1;Chesapeake St
1594;1;Chesapeake St
1594;1;Chesapeake St
1595;1;13th St
1596;1;W St
1597;1;10th St
1598;2;Cougar Ln
1599;2;Eastern Ave
1600;3;Alabama Ave
1602;1;Morgan St
1602;1;Morgan St
1603;3;M St
1605;3;Alabama Ave
1606;1;Connecticut Ave
1610;1;Dumbarton St
1611;1;Arizona Ave
1612;3;12th St
1614;2;30th St
1614;2;30th St
1617;4;Maine Ave
1621;1;Laverock Pl
1623;2;Quintana Pl
1623;2;Quintana Pl
1623;2;Quintana Pl
